•ÈÀpost,post-href,text
Having a job doesn't help.,https://www.suicideforum.com/community/threads/having-a-job-doesnt-help.121862/,"I think about my tinnitus all day at work. All I can think about is ending it. I don't want to learn anything new, I don't talk to anybody. I thought that if I had a distraction, if I contributed to society, that I'd be better. But I'm not. In fact, I'm worse. Luckily it was a temp job and it's ending soon, but my boss actually wanted me to stay. I told her no, that I was too unhealthy to work (I also have interstitial cystitis as well as depression and anxiety. The worst part about this is that my mother works at the same company and wants me to work there with her but when I try to explain, she doesn't want to hear it. She thinks this is her fault, but it's not. Although, my parents did suggest I stop taking ADs (after 9 years of doing so), and I followed suit, stopping them three months ago only to now contract two horrible diseases, tinnitus and interstitial cystitis. Too bad they are not life-threatening.



I've never been a go-getter. I did try for four years to get a voiceover career going, because acting is all I'm good at and all I've ever wanted to do. I wanted to do voices in cartoons, videogames, and anime. But I spent all this money on equipment, a teacher, and online services and it wasn't worth it. I never wanted to do anything, really, just sit and watch anime or play videogames. I can't do those things in peace anymore. The T just follows me everywhere I go.



I told my mom I am unable to work yet she still nudges suggestions my way, like working at her place or another collection agency, or somewhere. But I don't want to. I don't want to do anything anymore."
i hate life  - venting.....,https://www.suicideforum.com/community/threads/i-hate-life-venting.121879/,"I can't leave my house anymore without strangers being so rude to me. It's always something I am doing wrong in life. WHY AM I EVEN STILL ALIVE??? I hate life !!! 



If it's not something where I'm not parenting my kids right  (in the strangers mind), it's something else that is completely stupid because they are so impatient. 



I was just out to get my daughter her shots and needed to fill my van with gas. The car that was in front of me left. And another car cuts in front of me and  an impatient man behond who gets out of his car just to tell me off to get my vehicle out of the way afyer I just finished filling up. Ummmm. Hello?!?! I was here first and other people being inpatient decides to blame me because they are inpatient and I'm being patient by following the rules. Screw life.   I wish I was dead. ""THANKS TO THE MAN THAT RUIN MY DAY AND NOW NO LONGER WANT TO BE IN SOCIETY!!!!"""
Chronic illness.,https://www.suicideforum.com/community/threads/chronic-illness.122317/,"I am tired all the time.  Diagnosed with ""mild"" sleep apnea, but even with cpap therapy, I'm still wiped out everyday.  I lost my job; and at some point I will be homeless.  I'm scared of death, but I long for it.  You can tell a person who's depressed and lonely that it may get better.  But you cannot tell me that.  Years of battling this ""disease"" has not made me any better.  I wake up tired and have to face this crappy world like that.  I really have no alternative but to expire; but like I said I'm scared to do that.  



Fucking hate life."
my story...so tired of this shit,https://www.suicideforum.com/community/threads/my-story-so-tired-of-this-shit.122050/,"I dont know if i ever put my whole story down....begining to end. the best i can do is summarize as there is alot of pain i do not wish to relive. My life changed one day at the age of 27...I am now 41. I was at the cusp of full independence within arms reach of seizing almost everything major I wanted to get out of life. 

I was 3/4 through my internship, was talking to another intern who was pretty cool and quite beautiful, there seemed to be mutual interest in each other. Then within a month and a half everything was taken from me. The handyman job that supported me through college went out of business and now the internship which offered me a job was my last hope. (i was an unpaid intern with a month left to go). 

A position was being created for me in the new sales division after my performance in several key assignments and the steady course of the semester. But some asshole had to become jealous. Instead they felt entitled to the position and proceeded to sabotage me and make the work environment hostile towards me. He got into both private and work email addresses, erased business messages, switched office supplies so I assembled the mailers incorrectly, turned the small office against me saying i was making more than them. there's more but it's too hurtful to go into

Long story short i had a meltdown......i was so stressed i was eating right, sleeping right, couldn't take care of myself well and did things like come to work late inspite of trying to fight back against him. He would talk about me in round about tones that it made me paranoid. Would do things to taunt me. Eventually I would get a pyschotic break. I could literally feel something in my brain like a myelene sheathe rip or something...(i know there is no myelene sheath in the brain). This would lead to me losing the internship, my mind, my apartment, my future, my love interest and all of my savings."
It hurts,https://www.suicideforum.com/community/threads/it-hurts.122086/,"My back hurts... my chest hurts... my feelings hurts.



I'm just miserable right now. It almost 2 am and I've been trying to sleep for the last 2 hours... I kept finding small problems that kept me awake and tried to solve them...



And now I'm sobbing. I know I am trying to sleep so I can get up early and chat with my LDR boyfriend... but yeah. My life just seems so... hollow? I can't work as things are right now... I can't concentrate enough to work on my writing... I'm haunted by so many memories of so much abuse... and my body hurts. The pain relief I take are not nearly enough to help me...



Blegh. I just needed to whine I guess. In the morning when my boyfriend asks how I am ill probably just say 'fine'... I know he cares and he wants to be there... but he doesn't need me to be down.



Thursday he's getting a second scan of his brain since one they did recently was inconclusive and we're both pretty worried... he's brain damaged after an accident he had as a teen...



Sorry. But FML."
Lost,https://www.suicideforum.com/community/threads/lost.122561/,"Hi there, I need some advice on my situation. I get these thoughts of self harm randomly when positive things aren't going well for me such as my relationship. I feel trapped sometimes and alone. My two bestfriends hardly speak to me and never give me the help I need, to where as they make it about themselves including my family. I am gay and engaged but I feel like I'm lost and trapped. I can't find a job, I have no money. I'm sorta going blind and my partner seems to not really see that I'm struggling while he has a job, is getting a new one starting soon, gives his mother money. Provides for his dog(his baby) and not our cat. I love him but am sorta falling out due to all this drama with him. But I want to stay and make it work. There's a long list of other things but I don't want to bore anyone. I feel like me leaving this world is the only thing I can think off. I know it's selfish but like I said it's just a thought, a strong one today. I'm always home alone, blurry vision and it's not like our life is terrible but I'm young and I feel so whipped. I need someone to talk to because I've reached my limit."
Doctors don't care,https://www.suicideforum.com/community/threads/doctors-dont-care.122106/,"I've been to many doctors over the past 4 months, and not one cares for my well-being or cares in general. I made an appointment with a urologist office and I specifically asked if they take my insurance and they said yes. When I get there today they call me up and tell me they don't take my insurance and ask me to leave. My PCP is up the street, so I went there and asked why the fuck they'd give me a referral for an office that doesn't take my insurance. They said I need to take that kind of thing up with the insurance company. I am constantly fighting like this, with insurances, the marketplace, fighting for my right to be cared for, but none of them care. I hate this country."
Note...,https://www.suicideforum.com/community/threads/note.121964/,"Sad, I been sitting here thinking about writing a suicide note.  I'm so drained emotionally and physically. Tired... just been thinking everyone is better off without me. Why be here if I keep messing up? Anyways,  I'm getting back to making dinner.  Hoping these thoughts pass soon."
Help,https://www.suicideforum.com/community/threads/help.122073/,"two weeks ago totally out of the blue my boyfriend of two years broke up with me saying he can't cope with his depression anymore (the first is heard of it) and needed to take a step back from our relationship which I understood as I have PTSD and knew what he needed right now was me as a friend and for a week or so we were good friends but the past few days he's been out taking drugs with a group of ""mates"" all who take hard drugs and want to sleep with him it's killing me. When he goes out with them not answering his phone to anyone, so I've had to go over to his house which at first he is annoyed by but then seems grateful for and back to his normal self. However last night I stayed with him because he said he wants to kill himself and he was fine we watched a movie and he became himself again and woke up the same but around two he had an argument with his mum and he just snapped again told me he never liked me and just wants everyone to leave him alone so he can die I tried to get him to come with me to get help but he adamantly refused and punched a wall. He's gone out to meet these ""mates"" of his and I'm terrified he won't come home. I've been in touch with his mum and were both trying to find him but I have no idea what I can do to help him right now because I still love him so much and everything he says I know he doesn't mean but it hurts so much.What should I do? I've lost someone important to me to suicide before I can't let it happen again."
Arguments...Wrongdoing....,https://www.suicideforum.com/community/threads/arguments-wrongdoing.122445/,"Not sure why but every time I'm in an argument with someone or someone points out something I'm doing wrong,  I think about suicide.  Just keep thinking maybe it's best I'm no longer here.



Got into an argument with my husband last night. Everything is fine now. I spend the night sleeping on the couch but my mind kept thinking of how much I have been failing.  Suicide crossed my mind but couldn't go further with it since I'm pregnant. Just feel stuck and tired with my thoughts. 



Just wish my mind would stop thinking of ending my life every time I get into an argument with someone  (even strangers) or someone tells me if  I'm doing something wrong. So exhausted."
Life just feels too much,https://www.suicideforum.com/community/threads/life-just-feels-too-much.122079/,"A friend of mine posted a meme the other day and tagged me, it was of a little girl saying 'I feel really, really happy right now...I wonder what will fuck me up next'. Although I chuckled it is kind of how I experience life, except I have not felt really happy in years. But things can be going well, or at least not badly and I allow myself to look at the future and think of positive things and feel a little bit hopeful then something devastating happens. 

I felt like this at New Year's then on the 5th of January one of my kitties suddenly died, no idea what even from and only 8. My kitties are my reasons to live and is like losing a child to me, I can't stop crying about it. Since then it feels like things are snowballing, 5 other kitty illnesses, all unrelated, with my current sick baby, my eldest, 17, really unwell, am so worried about her and terrified of losing her. I feel like I live at the vets! This year I am meant to be moving house, I know people say it i stressful but I had no idea how much and that it could all still fall through, my anxiety is through the roof. 

I was recently sexually assaulted by a neighbour and am scared to even go out, though I have to to work. I have been single for two years now and am so sick of i, being alone all the time. I have a couple of friends but you know how it is not the same, being nearly 40 and single really sucks. Then my car got towed from a place we have always been allowed to park, they put up a tiny temporary sign, so more money to pay out, thought was stolen so was very stressful. Then a bailiff turned up at my door! People I pay charges to for my business have miscalculated the amount, I have chased them up about it to work out the right amount, last they said was it is all fine and they are sorting it, then a bailiff turns up saying I owe them 1250 Euros, so they still have not sorted it or told the people who collect the money so now have to try to sort that. Stupid things like the parcel man has left a parcel at the shop where I got assaulted, have not been back since and now have to go knowing the man is always there at the cafe and then kids kicked a football hitting my shoulder while carrying sick kitty in a box. Stupid problems at work with boilers and internet not working etc and people making it hard for me to sort out. 

It just feels like some really, traumatic big things mixed with lots of little things are making me feel like I am hanging on by a thread and just waiting for the next thing to fuck me over. I feel like I would rather die than deal with facing any of it. But I have my kitties, who I saved and could not leave so they save me from suicide too. But then I feel trapped here. The main thing keeping me going is moving but if I lose the place, it is in an area where it could be years until something in my budget and I am scared to stay in this neighbourhood now as the harassment is almost every day, the men here have no respect for women. It's all just too much and feels like I am going to explode."
How do I get out of a stump?,https://www.suicideforum.com/community/threads/how-do-i-get-out-of-a-stump.121978/,"I know there is no concrete answer to this question or none of us would be on this forum right now.... but my depression and anxiety are preventing me from completing the most mundane tasks. I was told I was anemic in August.. got routine bloodwork monthly and my Hemoglobin rose a point but I am still slightly anemic. My hemoglobin went down again last month to 9.7--it is not dietary related as my iron/B6 levels have been normal consistently. Maybe I am this fatigued from the anemia???? But I think it is the depression too. 

My dad has been depressed and anxious all his life. He managed to have a successful career for the past 35+ years but recently his depression got the best of him leading him to turn to opiates for the past eight years (unbeknownst to my family). In July he wad admitted to a 60k facility which bled us dry of all our money so we are struggling financially. In October my Dad returned home and decided to quit his job on disability leaving us with no income and NO health insurance. Meanwhile, my brother decides to steal 15k worth of equipment and valuables and pawn them off from September to February (UNBEKNOWNST to my Mom..see a pattern here? She's very naive and only sees the best in people and is in a constant state of denial) So her being the momma bear she is doesn't press charges. So now we have two recovering addicts and now my dad lays around all day in his BOXERS with food stains all over his shirt refusing to get off the couch and I swear he is going to get bed sores from not moving. He watches movies all day and complains of how hopeless and depressed he feels. Well I feel just as bad at him yet I am in my senior semester of college and have come the far so I might as well tough it out until May. BUT...HOW DO I GET GRADUATE IF I CANNOT EVEN GO TO CLASS? I just got off on a tangent but I am feeling crazy right now stuck in my thoughts with no one to talk to. I could drive home but the sight of my Dad deteriorating on that couch just triggers me to be even more depressed. I have a case study for one of my classes (Renal disorders/diseases) and it requires a ton of critical thinking and my brain is just shut off and I don't know how I am going to look through all the lab numbers and criteria come up with a diagnosis and intervention when I am SO FREAKIN tired and unable to do anything let alone shower or feed myself. I literally lay in my room all day and live off saltines because I don't want to leave my room to cook. I watch netflix for 12+ hours until it gets dark and then I go to bed. I only leave the house to go to my boyfriends but I don't even want to see him anymore because I'm this depressed and I have no desire to do ANYTHING. I have no desire to go anywhere or get up out of this bed. I wish I could go into a coma for 50+ years. I wish this would all go away but I can't leave this earth because I'm the only one my mom has. It's against my beliefs to commit suicide and I know ending my life is not the answer because it's a PERMANENT solution to a temporary problem. But I guess its cathartic to dream of a way out of this mess and a way to escape my thoughts for once. I'm trapped inside my head and it's giving me a panic attack that I can't shut my thoughts off when I need to function today. The more I type the more I panic because I realize how debilitated and pathetic my life has become. 

Anyone who has ever been this depressed, how did you get out of it???! (if you decided to not read my rant I don't blame you, but I would appreciate hearing anyone's experiences with similar issues and how they managed to get through it)"
I cried today.,https://www.suicideforum.com/community/threads/i-cried-today.122175/,"It helped a bit to cry today. Sometimes it's very hard to be able to cry, or to allow myself to be vulnerable enough to do so.



Today was hard, too. But glad I got some of it out."
things i wish,https://www.suicideforum.com/community/threads/things-i-wish.122521/,"My life has probably been more difficult than some and easier than others. If I could go back I wish I would have taken better care of me heart. I opened it easily desperately looking for love and validation - a reason for being here for living. My heart has been ripped out, thrown here and there patched back up by well meaning therapists. I still haven't learned I recently showed a glimpse of this battered useless life preserver to someone and I fear that once again I am to be betrayed. Me, my heart, my soul, all that I am wish now for it all to be over. When pain outweighs suffering it's time. I'm not even frightened anymore I just don't have the strenght to heal my heart again."
the last straw,https://www.suicideforum.com/community/threads/the-last-straw.122203/,"Hi,

My mind is a mess,after 20 years of being with an abusive partner,emotionally and physically ,raising our kids almost single handedly,   and dealing with her cheating,

I have no life no friends just emptiness inside.

Not a day goes by where I don't think about taking my life,one failed attempt already.

I am now ready to try again as its the only way I see."
The thoughts are here...,https://www.suicideforum.com/community/threads/the-thoughts-are-here.122173/,"Those horrible thoughts are here and I'm so tired of suffering. Right now my eyes hurt so much, they're burning and I have a migraine too. I'm about to take something for it soon. I've been posting a lot lately cause I'm emotional and I tend to get very sensitive by things.



Today I was talking to a friend of mine online, he knows how I feel about him and he knows I love him but he won't say ""I love you."" He's moody right now and down which I understand, but does that honestly stop you from saying, I love you? I have no idea.....maybe I'm just expecting him to say it. He said I'm very special to him today though, I feel his love for me is nothing more than a friends but yet he yet he says, ""not only are you doubting what I felt/feel/will feel for you but also doubting my friendship and everything I did for you and for both of us.""



I feel like he's stating the truth and than another part of me doesn't believe him cause I suffer with lots of trauma in my life and I want to be happy. I'm sorry for those who I upset but I'm in a horrible mind set right now and I can't think straight and why is it anytime I'm heart broken or crushed or thinking a guy doesn't love me makes me I suddenly think like this? A part of me is is wanting to let this go and forget about him all together and never talk to him anymore. However the good side of me says, I'm being paranoid and I should start loving myself and work on my thought process a little better. What do you think??"
My husband took his life and im pregnant.,https://www.suicideforum.com/community/threads/my-husband-took-his-life-and-im-pregnant.122495/,My husband took his life a little over a month ago. I was in the shower and found him in the garage. I am 5 months pregnant with our second child and it has not gotten any easier. Anytime I think it is starting to I fall apart again and I'm tired of being in this much pain. All it took was 20 minutes to shower and get ready. All it took was turning that corner. I tried to save him.. but had to take him off life support that night. He died 4 times in front of me. I can't live with this anymore.
Do I or dont I???,https://www.suicideforum.com/community/threads/do-i-or-dont-i.121871/,"Do I want to survive this Easter long weekend or dont I????



I'm leaning to ward the second option.



I'm sick of needing to ask for help and support.

I'm tied of nobody ever wanting anything to do with me unless I can help them or going to an appointment

I'm sick of not being greatful for what I do have.

I'm tied."
Suicidal at 22,https://www.suicideforum.com/community/threads/suicidal-at-22.122405/,"hi, I'm new here. this is possibly my last resort to seeking help. my family has a history of mental illness, my mother is bipolar and has become severely depressed these last few years. I was diagnosed with depression back in 2013, I am 22 years old now. after a nasty phase of excessive partying and doing drugs, I decided to turn my life around. three years later and I still have these terrible thoughts. since I was younger, I've dealt with low self esteem, cutting and even contemplating death. I always figured those were just typical 'teenager' feelings. but as I got older, the thought of hurting myself became more apparent. it's like having a demon constantly whisper in your ear that you're scum, a piece of shit. I'll never amount to anything. I try endlessly to block these thoughts out, I try to read a book, meditate, nothing works. the more alone I am with my thoughts, the more I want to listen to that little voice in the back of my head. the thing is, I want to die. I've already decided how and when I want to leave. I would like to wait until my parents leave this world first, because I could never hurt them. I would never put them through that, losing a child. but it gets harder to live each day. I love my parents so much and I am only here for them. however, the more I want to die, the harder it is to fight. my boyfriend doesn't understand mental illness, I don't expect him to. he expects me to just 'be okay'. like this shit has an off switch...i understand it is difficult being with someone with mental illness. which makes me feel even more low, I know he can find someone better, normal too. I am not happy with him anymore because I cannot be happy myself. I have become too clingy because i need constant reassuring that I am still loved. I am turning our relationship into a toxic one. no one wants to be with someone like that. I need help, I refuse to take pills and go to a doctor who views me as just another prescription. i want to love myself and know that I have more to live for, but I don't. I just wish to die soon, so I could be free from myself."
"I feel so trapped! Constant pain, but can end it due to my kids!",https://www.suicideforum.com/community/threads/i-feel-so-trapped-constant-pain-but-can-end-it-due-to-my-kids.122771/,"I have severe medical conditions/Injuries that have left me in constant pain. If it's not severe pain in my lower back, it's severe nerve pain in my hips, groin, behind my knees and down the backs of my lower legs. I find it hard to deal with. I'm only in my mid 40's yet my ability to get about matches that of an 80-90 year old!! Over the years it has dragged me down mentally and physically. I take allsorts of strong meds like morphine and Fentanyl. I've researched this and tried and had support from groups I've taken part in as best I could.

I tried suicide several times, some 15+ years ago, when I was very mentally unstable, and it was before my back problems and surgeries to try and fix the problem had started, and the chronic pain had started. The reason I feel trapped is I can't end my life due to the hurt I would cause my children and wife. I love them more than anything in the world, And having been in Law Enforcement, I know the pain suffered by those who are left behind.  I think they may learn to live with it eventually.....? After all, I'm only a burden to my wife for instance for many reasons. To name but a few, I'm no use when it comes to helping her with the physical work I used to do around the house and garden. Watching her pressure clean the patio, then mow our lawns, is so demoralising and depressing for me. The trouble is If I ended my life, I just can't be sure they would get over it and move on in life ok. Especially my daughter, who is mentally fragile, and already takes anti-depression tablets.  I'm just physically and mentally worn out by the physical pain, and the rest of the misery that comes with it. Being miserable and dragging my wife down, protesting when the kids ask for some help with something, when all I want to do is lye down and ease the pain. I recently went on a Psychological course, on how to deal with the constant drain being in constant pain causes. Clearly it didn't work! I constantly wish a terminal illness would strike me down, or hope I get involved in a road crash. I understand that's the easy way out. But the last few days have really taken there toll on me....... 

Anyway, that's enough bleating about my problems....."
the right thing,https://www.suicideforum.com/community/threads/the-right-thing.122242/,"lately, i've been reading (here and elsewhere) of people's experiences at the brink of self-destruction when they were brought back from the edge by something.  in some cases, it was the intervention of a loved one, or the timely plea of a pet, or even just a stranger's kind word.  i have come to recognize from these that there is some higher power -- whatever you put your faith in . . . a god if you are religious, or karma, or just the universe -- that intercedes to keep safe those souls or spirits.  looking at my life through an objectively critical and analytical lens, i can see clearly that i have lots and lots of reasons to keep fighting and to stay here.  but i know that i no longer have the desire . . . seeing the absolute mess that i have made of my life, the disasters i have imposed upon the lives of everyone who matters, everyone about whom i care, i know that my selfish reasons for wanting to continue to be here, to be alive, don't amount to anything.  i should not be here, and whatever strength i had to keep up the fight is sapped entirely by the recognition that, by leaving now, i do not necessarily make amends to those around me who i have harmed, but at least the damage is stayed and maybe things become easier for them.  isn't that enough of a reason to do the right thing?  isn't that a good enough excuse for going along with the screams of every cell within me that just wants to finally give up?"
12 years ago,https://www.suicideforum.com/community/threads/12-years-ago.122263/,"I just realized what today was. 



12 years ago I was 14... 12 years ago is the day I officially mark as the day I became a fan of Michael Jackson... 



But... the thing is... that was also one of the times I had a very serious suicide attempt planned. I had 3 methods lined up even... I was realizing begging the angels to take me away wasn't enough any more... 



It hurts so bad to know I got to that point... I have been suicidal since I was 9 years ago... but this was one of my worst attempts. 



It was around 6 months after I was brutally raped... I had suffered in silence... pregnancy scares, horrible nightmares, meeting my rapist over and over again... he would find me on busses, sit next to me, pressed against me... always looking over my shoulder... on top of everything I was heavily bullied in school and my mum was abusive... and the reason I finally had enough was that I was forced to attend my rapist's birthday celebration. I couldn't wiggle myself out of it... mum would have dragged me there by my hair if I tried to refuse. 



I was home alone that night... and everything was on the table in front of me. I was so numb. I hadn't even bothered writing a letter... I felt like no-one would care anyway. 



My life was saved though... and I'm happy it was. I know my life isn't the best... but I'm getting there... I had the TV on, I have a phobia of silence. 

They were showing the movie 'Moonwalker' that evening. It starts with these serene tunes as Man in The Mirror starts playing. It broke through my numbness somehow and I sat there frozen, staring at the screen... and I did for the full duration of the film. I didn't even move... and I feel like I didn't even blink. 



As the credits rolled I found out I was smiling. I couldn't remember the last time I had done that. I put away the methods... I went to bed that night humming some of his songs... and an MJ fan was born. 

I made a lot of friends in that fandom... sadly since he died the fandom got a bit strange and so many things changed... I haven't been on a fan board in so, so long. His music, videos and concerts still bring me joy though... but it's not the same since he died. Most days I can't stand listening to 'Man In The Mirror'... because that's the song they played as they carried his casket out. I grieved his death so badly. 



I even have a tattoo dedicated to him. It turned out so ugly though... the artist messed it up. And the concept is really weird... but I wasn't thinking too clearly when I got it. It's the outline of a black heart on my wrist, and the letters 'MJ' (which is also a shortened version of my real name) in red, and blood dripping down my arm from them. 





Thank you Michael, for keeping me alive."
"Nobody cares, nothing matters",https://www.suicideforum.com/community/threads/nobody-cares-nothing-matters.121993/,"I feel invisible and worthless. Tried to understand why people don't like me. Waste of time. For once in my life saw the night sky while I was sitting alone on top of office building, and felt glee, while being accompanied by the stars. Then, I looked down and <mod edit methods /details> Luckily, I didn't actually fall. It was a dream. Don't have the courage to kill myself, but at that very moment, I felt happy when dreaming about suicide. I have no friends or family, so it doesn't matter. My death is as insignificant as that of the tiniest ant."
"Failing, Once Again....",https://www.suicideforum.com/community/threads/failing-once-again.121971/,"Got in an argument with my husband this evening.  Oh, the joys of knowing you messed up again....   I told him how much I feel as though I'm failing.  Am I really okay?  Nope.... I wish I was. All seems to be going down hill. I been pushing everyone away. He even told me we need help.... ummm... I told him, ""What do you think I been doing?"" He's talking about someone who cares not someone who gets paid. I took a shower and been having more thoughts.  Just rather be gone so I don't make things worse. I get done with my shower and he's on the phone with his best friend who is a psychiatrist.  Have I screwed up so bad? Just rather disappear. I been so angry, so upset,  so frustrated,  and nothing is helping...  Just done.     Waiting for this benadryl to kick in so I can sleep.  Not sure how tomorrow will go but I don't want to face anymore days and feel stuck. All this, my fault..."
Too afraid to drive,https://www.suicideforum.com/community/threads/too-afraid-to-drive.122027/,"I want to drive somewhere and get away, yet I'm too afraid to put myself behind the wheel. Where I live you have to get on the highway to get everywhere, and that right now is too much for me to handle. I know the temptation to hurt/kill myself while driving is there. It is so scary. The way I feel now is very scary. I almost feel as though I am dead inside, walking around not really knowing where I am going or what I am doing.  I have been chain smoking cigarettes and it is making my chest burn, but I like the feeling. I have never cut myself before, but I am considering it now. Lately I have just wanted to hurt myself and cause myself pain. Maybe it will make me feel like I can feel something again? I'm frustrated. I have done a lot of counseling already and I just can't seem to get better. Is there something wrong with me? I must be fucked up in the head to feel like this constantly, unable to find happiness and always beating myself up. I almost feel like I hate myself for being like this. I want out."
write 5 good things about you,https://www.suicideforum.com/community/threads/write-5-good-things-about-you.122284/,"So i think to try it out as ive been told it suppose to sort of help, so here i am.

you are all welcome to take part as well.

every day, we have to write down and post 5 positive things about ourselves or things that happened to us during that day, so ill just start and you can try it for yourself.



1. im tall, and have a solid body build, overall im looking great

2. i achieved in my 31 years all the goals i ever wanted for myself, with great success

3. i spent the past 2 weeks with an amazing beautiful woman while on vacation in a different country

4. im smart and have great knowledge of many different things due to my natural curiosity 

5. im constantly improving myself, learning new things, and evolving



now those are 5 good things about me

now you try 

good luck"
Three years of happiness dumped,https://www.suicideforum.com/community/threads/three-years-of-happiness-dumped.121838/,"So after three fantastic, happy and absolutely incredible years my now ex-girlfriend has left me. Because as she said, she does not feel any passion anymore and she is tired. Not even sure of the true reason though.

However I know one thing, that she was meant to be the one to me. This crisis of mine began about three months ago, when she showed the first signs of wanting to break it all up. Then the first thoughts of suicide appeared. 

I began writing secret letters so that I would be able to see my progress. Progress of my emotions and psychological well being. It just got worse everyday. I even managed to make a plan for my last trip. I have written a lot of letters including the goodbye ones. I now have a full plan of how it all will end.

The thing that hurts me the most is the fact that all of those three years of Love, has turned out to be a lie. I cannot cope with the fact that my world, which was planned around Her only, has turned around 180 degrees.

So many things I did for her, so much time that I have spent for her. She was my priority. I even had to lie sometimes to my family so I would be able to spend more time with her and surprise her. I gave her everything. I spent so much money on our happiness. So much time and effort, so many ideas that I worked out, many travels around the country and even more crazy ideas that I have managed to think off in order to make her smile, make her laugh.

Another thing I cannot deal with is the fact that I have to realize, that she will be with someone else. She will do things that I always wanted to do with someone else. Someone else will kiss her and do all the things we did or would do. Honestly, I feel jealious. Jealious for whoever is going to communicate with her. Who Will be with Her. I know that the pain I feel is temporary right now. But I know for a fact that I will always be jealious and I will always feel that I am missing something inside of me. Therefore, this is something I cannot deal with, something I do not want to live with. I must make that feeling go away. Make all of those feelings go away and feel absolutely nothing. 

Every single step that I take in this world reminds me of her. Every sound, every song, every look and every place. I know way too much of the things she loves and hates. I know too many details about her interests.

My mistake was that I planned my whole life around her. There was not a single action I did without considering her feelings, any possible impact on her and her opinion. I was absolutely sure she will be my wife and that the things I did would be something that would make our future bright.

I was wrong. All three years went to dump. And now I find that fact hard to deal with. And I feel too much, way too much, that is why I keep getting the thoughts of ending it all."
disfigured,https://www.suicideforum.com/community/threads/disfigured.122571/,Want to die. Depressed. Ugly. 1 eye. No friends. No relationship. Empty. Worthless. Why did I survive? I didnt want to!
Struggle street,https://www.suicideforum.com/community/threads/struggle-street.122476/,"I'm struggling still from last night i had hopes that some sleep and a new day would change maybe improve it even just a little bit.

Nope.

I'm trying to find reasons to hold on and to keep going  but I'm coming up blank.

Not even my cats are working ones been super affectionate today but I just can feel it.

Nothing is worth it everything is so pointless......I don't even know why im trying to hold on.......what for.......

How long will this last. 

I want out."
I am a nobody who deserves death,https://www.suicideforum.com/community/threads/i-am-a-nobody-who-deserves-death.122035/,"Wish I had some support. I am undergoing therapy right now. Tried to <mod edit - methods> , so that I could die in bliss. Didn't have the courage to even do that. Felt soo much anguish that very moment. Not one person is there to care for me. My death is extremely insignificant. I think I will go into psychiatric ward, I am the biggest loser. The least I could do is live with being a loser."
I deserve to die,https://www.suicideforum.com/community/threads/i-deserve-to-die.121881/,"I feel like shit everyday. Nobody loves me, I feel like a monster. When I die, nobody will mourn my death. They will all go by and live their lives as if I didn't exist."
... And parties aren't meant to last,https://www.suicideforum.com/community/threads/and-parties-arent-meant-to-last.122632/,"I feel weird tonight. 



I've slept 20 hours thanks to a Seroquel tablet... and since then I managed a trip to the store because I needed bread for the next days... 



I am not exactly sad... I am just numb and flat... I am trying not to fall further, I am trying to distract myself... 



But I get these suicidal thoughts in my head... how easy it would be to do this and that... and it doesn't seem like I worry about the consequences. 



I have been listening to Prince all night, while visiting my mum this weekend I found my old CD's in her attics... and there's this line in a song that goes ""Life is just a party, and parties aren't meant to last""... I felt like I was agreeing... 



My logic brain wants me to live, I want to fight. I want to be here for the future when my boyfriend can move here and we can build all the things I never had... 



I just worry myself... 



I have two sides of my brain... and like I explained to my therapist it's a near constant battle between the two... 



There's the logic grown up one, who is trying to get better, and do all the right things... 

And there's the purely emotional part, that just wants to scream and throw stuff and hurt my body to get all these horrible emotions out. It's this part that acts first when I'm met with triggers and bad memories... 



My therapist has instructed me to think of the logic side as a parental figure that needs to hug the emotional side, tell them that they understand and validate these emotions, but try to steer into a safe direction... 



But yeah... it feels like my logic brain is still sedated."
Had a nightmare,https://www.suicideforum.com/community/threads/had-a-nightmare.122219/,"This morning, I woke up from a nightmare. In my dream, I was all alone, no support, no friends and no family. For 25 years I did absolutely nothing and my life was pathetic and a waste. In the end, I had zero confidence as I watched others go about their lives smoothly minding their own business as usual and having all love, warmth and comfort from close people. And, here I was, a nobody, an invisible man. Even after my suicide, there was no funeral, and nobody bothered or cared to look down at my dead body. They all passed by as If I had never existed.

I thought about this for a while, and realized how this nightmare is pretty much my life thus far.

I need help, I have been feeling horrible inside for years. I haven't had a day where I was happy."
